start	end	text
0	29000	Tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle.
30000	45000	Shhhva, shhhva, shhhva, shhhva, shhhva, shhhva, shhva, shhhva, shhhva, shhhva, shhhva, shhhva, shhhva,
46000	52000	tickle tickle, tickle tick, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tickle, tick,
52000	54000	What?
54000	58000	All right, all right, all right, all right.
58000	63000	Let's get back on track.
63000	68000	What was the video about again?
72000	74000	All right.
76000	80000	Hey, love. Hey, love.
80000	87000	It's just me and you now.
87000	95000	Yes, I'm so glad to see your beautiful face that I can't help but...
101000	105000	It's our world tradition at this point, you know?
105000	122000	And I do know it can be quite, indeed, a little startling, especially seeing me like this.
122000	143000	But babe, it's still me, your boyfriend after all, your protector, your, well, your werewolf in simple words, and only yours.
144000	164000	Sweetheart, you know, I remember the first time I showed you this side of me, I was quite nervous, so nervous actually, so nervous.
164000	189000	I was worried that you'd be scared, that you'd see me as some kind of monster, but you elected me with those most beautiful, beautiful, beautiful, beautiful eyes.
189000	211000	Those beautiful, gorgeous, stunning eyes, simply full of understanding, and on your right hand and there, that I had nothing to fear.
211000	230000	You know, I've had my fair share of ups and downs throughout my whole journey of life, and even in moments like these, you've always seen the real me.
230000	244000	You know, beyond the fur, the sharp claws, the teeth, well, you've seen my heart.
244000	256000	Tonight feels a little different though. There's something on your mind, isn't there? There's something on your mind.
256000	275000	I can sense it. I can sure sense it. I can feel it. It's the werewolf senses, you know, there is no hiding, there is no hiding here.
275000	295000	There is no lying, there is no hiding. My werewolf senses show it all. For example, I can tell that your heartbeat is a bit faster than usual.
295000	314000	You're breathing a little shallow, and not just because of the werewolf senses, but I can tell from my own personal experience.
314000	341000	A little shallow. I know from personal experience, as a werewolf like me, you might think we have it fine and dandy, but a werewolf like myself, I can still struggle with anxiety, and I know how debilitating it can be.
341000	357000	It sucks. So you don't have to tell me everything. You don't have to tell me anything at all, quite a fact. You don't have to say anything at all. Nothing at all.
357000	380000	But if you do, I'm here to listen. If you want to talk, whatever you feel most comfortable with, do so, okay? And whatever it is, it's going to be okay.
380000	407000	You're safe here with me. You're safe here with me, sweetheart. Everything is going to be alright. Everything is going to be okay. Trust me on that. I will make sure that it will be. You can trust me, babe.
407000	436000	No one needs anything from you at this moment. No one wants anything at all from you. No, no, no, no, no, no, no, no, no, no. Everything is okay in this moment. It's going to be okay. I know, I know.
437000	464000	I know this world can be quite overwhelming sometimes. There is just so much going on, so much noise, so many expectations, so many challenges. The list just goes on and on and on.
465000	491000	It feels like you're being pulled in so many different directions all at once. Kind of like a never-ending song. A never-ending song from a broken record going on and on and on and on and on and on and on and on.
491000	512000	But right now, I would like for you to just forget about that. I would like for you to just simply let all of that disappear.
512000	541000	None of that matters right here in this very present moment in time. It does not matter. All that matters is that you and me, in this moment that we have together, that we're sharing it, that we are together.
542000	551000	Or, as I would say in Italian, siamo insieme. We are together.
551000	579000	You know, I've always admired your strength. The way you handle everything, life throws you away. It's so inspiring. But even the strongest people need a break.
581000	601000	They need someone they can lean on. So let me be that for you. Just for tonight, at least. Just for tonight. Just for this one time, okay?
601000	621000	Let me be that someone you can lean on. You don't have to carry everything on your own. You don't have to. We have this false presumption of life that we have to do everything on our own.
621000	641000	That it's not okay to ask for help. That it's not okay to just ask. We're in it together, okay? We are ready. You don't have to do everything on your own.
641000	665000	Let me some of that burden so I can carry it for you, alright? Let me do that for you, please. After all, as your werewolf boyfriend is, the least that I can do.
665000	692000	Do you feel that? My arms around you will take you close. There is nothing in this world that could ever, ever, ever hurt you.
692000	715000	No, I won't allow that. Nothing could ever hurt you while I'm here, okay? I will fight, I will fight, fight, fight anything and everything that tries.
715000	734000	But more than that, I want to help you fight of the things that you can't see, because sometimes the biggest threats are the ones that you don't see.
734000	758000	I don't want to help you fight those. The worries, the doubts, the fears, those invisible enemies of yours. Let me just take some of that burden, okay?
758000	767000	Let me take that from you, just a little bit. Even if it's just for a little while.
767000	791000	Close your eyes for me, love. Close your eyes. Just for a moment. And breathe in and out.
791000	815000	There you go, there you go. Let your mind rest. And let the weight on your shoulders lighten up, lighten up.
815000	829000	You don't have to be anywhere else but here with me.
829000	845000	I feel the rhythm of my heartbeat, strong and steady right here beside you.
845000	865000	Because you're not alone. You have me and this safe space that we created. A safe space all for you.
865000	875000	Continue through breathing in and out at your own pace. There is no right way of doing it. There is no wrong way of doing it.
875000	896000	All right. As long as you're doing what is most comfortable for you, sometimes I think about how lucky I am to have you in my life.
896000	916000	Quite often actually, perhaps all the time. You are my anchor, the one who keeps giving, the one who keeps me grounded.
916000	933000	Especially when everything feels like it's spinning out of control. And I want to do things sexy for you, babe.
933000	953000	I want to be that for you. I want you to just know that no matter what happens, you'll always, always, always, always know.
953000	969000	Always, no matter what happens, you'll have a safe place to go back to right here in my arms.
969000	990000	And sure, I know that things have not been quite easy lately. You've been pushing yourself way too hard on my honest opinion.
990000	1014000	Trying to just keep everything together all by yourself. But it's okay to let go. It's okay to let go, to let yourself be vulnerable, most importantly.
1014000	1038000	It's okay to need help, to lean on something, someone else. You're not weak, you're not weak. You're not weak, we're needing that.
1038000	1055000	In fact, I would argue against that and say that it takes true courage, real strength to admit when you need support.
1055000	1075000	You don't have to be perfect. You don't have to have all the answers. I love you just as you are.
1075000	1101000	The laws, fears and all. And I'm here to remind you that you are enough. You are enough just as you are. You don't have to prove anything, especially to me.
1101000	1127000	You're already everything that I could ever, ever, ever want. It's true. So let me be the one that takes care of you tonight. Let me hold you, comfort you, and keep you safe.
1127000	1155000	You've done so much for others and now it's time for you to be taken care of, right? So just close your eyes, close your eyes, close your eyes, close your eyes.
1157000	1184000	Close your eyes. Close your eyes love and let the world fade away and imagine us in a place where nothing can touch us.
1184000	1209000	Just simply peace and warmth, the sound of my heartbeat next to your eyes. May your body will stay with you, keeping watch over it, protecting you from whatever it is that's troubling your mind.
1209000	1236000	Keep in mind that you're safe here and is very welcome to talk and for it be. You're in the arms of someone who loves you more than anything. Someone who would do anything at all to see you happy.
1236000	1258000	To see you at peace. You don't have to worry about anything right now, okay? I've got you, I've got you, I've got you. I've got you.
1258000	1287000	So just let it go, let it go my love. Let yourself drift away into a place of calm knowing that I am right here with you. I'll be here when you're awake, ready to face the world together.
1287000	1315000	But for now just rest alright? You're safe, you're left and you'll always, always, always have me by your side no matter what. Don't forget how much you're left and how much I love you. Good night.
1317000	1343000	Hey love, hey love. It's just me and you now. Yes, I'm so glad to see your beautiful face that I can't help but...
1348000	1369000	It's a werewolf tradition at this point, you know? And I do know it can be quite handy to a little startling. Especially seeing me like this.
1370000	1390000	But be it still me, your boyfriend after all, your protector, your, well, your werewolf in simple words, and only yours.
1391000	1411000	Sweetheart, you know I remember the first time I showed you this side of me, I was quite nervous. So nervous actually, so nervous.
1411000	1436000	I was worried that you'd be scared or that you'd see me as some kind of monster. But you elected me with those most beautiful, beautiful, beautiful, beautiful eyes.
1437000	1457000	Those beautiful, gorgeous, stunning eyes. Simply full of understanding. And on your right hand and there, that eye had nothing to fear.
1458000	1476000	You know, I've had my fair share of ups and downs throughout my whole journey of life. And even in moments like these, you've always seen the real me.
1477000	1490000	You know, beyond the fur, the sharp claws, the teeth. Well, you've seen my heart.
1491000	1502000	Tonight feels a little different though. There's something on your mind, isn't there? There's something on your mind.
1503000	1521000	I can sense it. I can sure sense it. I can feel it. It's the werewolf senses, you know. There is no hiding. There is no hiding here.
1522000	1541000	There is no lying. There is no hiding. My werewolf senses show it all. For example, I can tell that your heartbeat is a bit faster than usual.
1542000	1560000	You're breathing a little shallow. And not just because of the werewolf senses, but I can tell from my own personal experience.
1561000	1583000	A little shallow. I know from personal experience. As a werewolf like me, you might think we have it fine and dandy, but a werewolf like myself, I can still struggle with anxiety.
1583000	1604000	And I know how debilitating it can be. It sucks. So you don't have to tell me everything. You don't have to tell me anything at all. Quite a fact. You don't have to say anything at all. Nothing at all.
1604000	1625000	But if you do, I'm here to listen if you want to talk. Whatever you feel most comfortable with, do so okay. And whatever it is, it's going to be okay.
1625000	1654000	You're safe here with me. You're safe here with me, sweetheart. Everything is going to be alright. Everything is going to be okay. Trust me on that. I will make sure that it will be. You can trust me, babe.
1656000	1669000	No one needs anything from you at this moment. No one wants anything at all from you. No.
1670000	1694000	Everything is okay in this moment. It's going to be okay. I know. I know. I know this world can be kind of overwhelming sometimes.
1694000	1711000	There's just so much going on. So much noise. So many expectations. So many challenges. The list just goes on and on and on.
1712000	1738000	It feels like you're being pulled in so many different directions all at once. Kind of like a never ending song. A never ending song from a broken record going on and on and on and on and on and on and on and on.
1738000	1759000	I know you're not, but right now I would like for you to just forget about that. I would like for you to just simply let all of that disappear.
1760000	1781000	None of that matters right here in this very present moment in time. It does not matter. All that matters is that you and me in this moment that we have together.
1782000	1798000	That we're sharing it. That we are together. Or as I would say in Italian, siamo insieme. We are together.
1798000	1826000	You know, I've always admired your strength. The way you handle everything life throws your way. It's so inspiring. But even the strongest people need a break.
1828000	1848000	They need someone they can lean on. So let me be that for you. Just for tonight. At least. Just for tonight. Just for this one time, okay?
1849000	1869000	Let me be that someone you can lean on. You don't have to carry everything on your own. You don't have to. We have this false presumption of life that we have to do everything on our own.
1869000	1887000	That it's not okay to ask for help. That it's not okay to just ask. We're in it together, okay? We are ready. You don't have to do everything on your own.
1887000	1902000	Let me do that for you, all right? Let me do that for you, all right? Let me do that for you, all right? Let me do that for you, all right? Let me do that for you, all right? Let me do that for you, all right?
1902000	1926000	After all, as your werewolf boyfriend, that's the least that I can do. Do you feel that? My arms around you hold thinking close.
1926000	1949000	There's nothing in this world that could ever, ever, ever hurt you. No. I won't allow that. Nothing could ever hurt you while I'm here, okay?
1949000	1976000	I will fight, I will fight, fight, fight anything and everything that tries. But more than that, I want to help you fight off the things that you can't see.
1976000	1998000	Because sometimes the biggest threats are the ones that we don't see. I don't want to help you fight those. The worries, the doubts, the fears, those invisible enemies of yours.
1998000	2019000	Let me just take some of that bird then, okay? Let me take that from you just a little bit. Even if it's just for a little while.
2019000	2047000	Close your eyes for me, love. Close your eyes. Just for a moment. Then breathe in and out. There you go, there you go.
2047000	2073000	Let your mind rest. Let the weight on your shoulders lighten up, lighten up. You don't have to be anywhere else but here with me.
2077000	2093000	And feel the rhythm of my heartbeat strong and steady right here beside you.
2093000	2113000	Because you're not alone. You have me and the safe space that we create. A safe space all for you.
2113000	2123000	Continue through breathing in and out at your own pace. There is no right way of doing it. There is no wrong way of doing it.
2123000	2144000	There is no right way. As long as you're doing what is most comfortable for you. Sometimes I think about how lucky I am to have you in my life.
2144000	2164000	Quite often actually. Perhaps all the time. You are my anchor. The one who keeps giving. The one who keeps me grounded.
2164000	2188000	Especially when everything feels like it's spinning out of control. And I want to do things sexy for you, babe. I want to be that for you.
2188000	2208000	I want you to just know that no matter what happens, you will always, always, always, always have a safe place to come back to.
2208000	2237000	Right here in my arms. And sure I know that things have not been quite easy lately. You've been pushing yourself way too hard in my honest opinion.
2237000	2261000	Trying to just keep everything together all by yourself. But it's okay to let go. It's okay to let go. To let yourself be vulnerable, most importantly.
2261000	2285000	It's okay to need help. To lean on something, someone else. You're not weak. You're not weak. You're not weak for needing that.
2285000	2302000	In fact, I would argue against that and say that it takes true courage, real strength to admit when you need support.
2302000	2322000	You don't have to be perfect. You don't have to have all the answers. I love you just as you are.
2322000	2348000	You are a loss, fears and all. And I'm here to remind you that you are enough. You are enough just as you are. You don't have to prove anything, especially to me.
2348000	2373000	You're already everything that I could ever, ever, ever want. It's true. So let me be the one that takes care of you tonight. Let me hold you, comfort you, and keep you safe.
2373000	2394000	You've done so much for others and now it's time for you to be taken care of, right? So just close your eyes. Close your eyes.
2394000	2414000	Close your eyes. Close your eyes. Close your eyes.
2414000	2436000	Close your eyes, love, and let the world fade away. And imagine us in a place where nothing can touch us, just simply peace and warmth.
2436000	2459000	Let the sound of my heart be next to yours. Maybe I will stay with you, keeping watch on it, protecting you from whatever it is that's troubling your mind.
2459000	2484000	Keep in mind that you're safe here at this very moment in time and forever. You're in the arms of someone who loves you more than anything. Someone who would do anything at all to see you happy.
2484000	2505000	To see you at peace. You don't have to worry about anything right now, okay? I've got you. I've got you. I've got you. I've got you.
2505000	2525000	So just let go. Let go, my love. Let yourself drift away into a place of calm, knowing that I am right here with you, okay?
2525000	2554000	I'll be here when you're awake, ready to face the world together. But for now, just rest, alright? You're safe. You're alive, and you'll always, always, always, always have me by your side, no matter what.
2554000	2562000	Don't forget how much you're loved and how much I love you. Good night.
